Tactic,Feature,Importance (%),Sample_Count
Reconnaissance,ABSTRACT,62.75450694173639,2
Reconnaissance,EPSS,0.5316544475578416,2
Reconnaissance,CVSS,1.6897092647103853,2
Reconnaissance,CWE,33.89363527511959,2
Reconnaissance,CPE,1.130494070875793,2
Resource Development,ABSTRACT,40.70513077181102,1
Resource Development,EPSS,0.4022924834828293,1
Resource Development,CVSS,3.447902280253897,1
Resource Development,CWE,46.65007843286851,1
Resource Development,CPE,8.794596031583744,1
Initial Access,ABSTRACT,66.04549617100442,14
Initial Access,EPSS,0.7085713345331375,14
Initial Access,CVSS,3.50324421847221,14
Initial Access,CWE,27.91190610586037,14
Initial Access,CPE,1.8307821701298599,14
Execution,ABSTRACT,63.03158984835776,38
Execution,EPSS,1.318813071476425,38
Execution,CVSS,4.142511778632778,38
Execution,CWE,28.19664511029318,38
Execution,CPE,3.310440191239838,38
Persistence,ABSTRACT,57.54804691904119,44
Persistence,EPSS,1.150344461172929,44
Persistence,CVSS,4.799190504252234,44
Persistence,CWE,32.70986844326347,44
Persistence,CPE,3.792549672270196,44
Privilege Escalation,ABSTRACT,58.12151752909715,51
Privilege Escalation,EPSS,1.3080736587427646,51
Privilege Escalation,CVSS,4.9031430661311095,51
Privilege Escalation,CWE,31.889854046243954,51
Privilege Escalation,CPE,3.7774116997850213,51
Defense Evasion,ABSTRACT,63.28935172091206,143
Defense Evasion,EPSS,1.4852959904465064,143
Defense Evasion,CVSS,7.228897840653443,143
Defense Evasion,CWE,24.285101633566484,143
Defense Evasion,CPE,3.711352814421504,143
Credential Access,ABSTRACT,54.433891388928025,15
Credential Access,EPSS,1.1099846926300638,15
Credential Access,CVSS,5.049155216702592,15
Credential Access,CWE,35.139971363681106,15
Credential Access,CPE,4.266997338058213,15
Discovery,ABSTRACT,64.89751068622884,57
Discovery,EPSS,1.055772167022919,57
Discovery,CVSS,6.438318741203247,57
Discovery,CWE,23.71291634649609,57
Discovery,CPE,3.8954820590488968,57
Lateral Movement,ABSTRACT,60.988239186600865,17
Lateral Movement,EPSS,1.4602293535133075,17
Lateral Movement,CVSS,4.501169694321286,17
Lateral Movement,CWE,29.06464380272748,17
Lateral Movement,CPE,3.985717962837066,17
Collection,ABSTRACT,57.16049248650609,10
Collection,EPSS,0.9768990363552312,10
Collection,CVSS,5.88201454088303,10
Collection,CWE,32.61672401983567,10
Collection,CPE,3.363869916419983,10
Command and Control,ABSTRACT,57.311742413509755,7
Command and Control,EPSS,1.287296516726093,7
Command and Control,CVSS,7.542182144031554,7
Command and Control,CWE,29.699612315163943,7
Command and Control,CPE,4.159166610568649,7
Impact,ABSTRACT,57.625596742946186,6
Impact,EPSS,1.6580135441747952,6
Impact,CVSS,4.665863780697117,6
Impact,CWE,31.188362425595784,6
Impact,CPE,4.862163506586115,6
